year	leap.year	weeks	pattern
2214	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2215	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2216	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2217	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2218	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2219	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2220	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2221	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2222	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2223	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2224	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2225	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2226	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2227	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2228	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2229	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2230	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2231	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2232	TRUE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2233	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2234	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2235	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2236	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2237	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2238	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2239	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2240	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2241	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2242	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2243	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2244	TRUE	52	4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2245	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2246	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2247	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2248	TRUE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2249	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2250	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 4-5-4 (13) | 5-4-4 (13)
2251	FALSE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2252	TRUE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
2253	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13) | 4-4-5 (13)
2254	FALSE	52	4-4-5 (13) | 4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13)
2255	FALSE	52	4-4-5 (13) | 4-5-4 (13) | 4-5-4 (13) | 4-5-4 (13)
2256	TRUE	52	5-4-4 (13) | 4-5-4 (13) | 5-4-4 (13) | 5-4-4 (13)
2257	FALSE	53	5-4-4 (13) | 5-4-4 (13) | 5-4-4 (13) | 5-4-5 (14)
2258	FALSE	52	4-4-4 (12) | 5-4-4 (13) | 5-4-5 (14) | 4-4-5 (13)
